car_id,car_price,car_quantity,car_year,car_used,car_mm,car_color
1,19948,4,2015,True,Nissan Altima,Red
2,42848,33,2002,True,Jeep Wrangler,Black
3,27503,14,2007,True,Toyota RAV4,Light Blue
4,79535,34,2019,True,Cadillac Escalade,Black
5,67565,21,2023,False,Nissan Altima,White
6,17864,30,2007,True,Ford Escape,White
7,124043,33,2003,True,Cadillac Escalade,Red
8,9700,39,2005,True,Nissan Altima,Yellow
9,48754,30,2018,True,Ford Expedition,Blue
10,107569,14,2017,True,Toyota Corolla,Yellow
11,130880,8,2012,True,Honda Accord,Maroon
12,111247,25,2003,True,Cadillac Escalade,White
13,101791,22,2004,True,Chevrolet Tahoe,Black
14,51035,38,2018,True,Jeep Cherokee,White
15,40084,16,2018,True,Toyota Land Cruiser,Grey
16,109624,27,2000,True,Ford Bronco,White
17,121908,29,2009,True,Jeep Cherokee,Grey
18,8020,29,1998,True,Audi A6,White
19,40035,23,2001,True,Honda Civic,Yellow
20,43681,44,2020,True,Honda Accord,White
21,25252,5,2019,True,Toyota 4Runner,Grey
22,91483,30,2017,True,Toyota Camry,Green
23,17525,44,2013,True,Toyota 4Runner,Grey
24,85431,25,2011,True,Chevrolet Tahoe,White
25,32119,38,2014,True,Ford Escape,Maroon
26,121131,22,2023,False,Toyota 4Runner,Blue
27,78933,46,2012,True,Ford Expedition,Red
28,77789,30,2024,False,Audi A6,Light Blue
29,86639,36,2004,True,Audi A6,Blue
30,22212,15,2001,True,Toyota 4Runner,Yellow
31,126353,13,2009,True,Toyota Land Cruiser,Grey
32,142582,43,2018,True,Toyota Camry,Yellow
33,53269,22,2022,True,Jeep Wrangler,Grey
34,111858,29,2000,True,Jeep Cherokee,Maroon
35,49978,33,2008,True,Toyota Sienna,Yellow
36,24015,23,2001,True,Toyota Land Cruiser,Yellow
37,78887,32,2005,True,Ford Expedition,Blue
38,143618,7,2008,True,Toyota Land Cruiser,Black
39,21598,34,2011,True,Honda Accord,Maroon
40,85083,8,2024,False,Toyota Sienna,Red
41,51121,29,2005,True,Dodge Challenger,Red
42,44901,6,2000,True,Audi A6,Black
43,13043,9,2015,True,Ford Expedition,Blue
44,43068,40,2015,True,Audi A3,Grey
45,116732,50,2002,True,Cadillac Escalade,Black
46,122992,3,2012,True,Toyota Camry,Maroon
47,102897,17,2020,True,Toyota Corolla,Red
48,95477,48,2017,True,Toyota 4Runner,Blue
49,11172,35,2006,True,Honda Civic,Light Blue
50,117177,30,2011,True,Nissan Altima,Black
51,142194,12,2014,True,Toyota Camry,White
52,149272,7,2017,True,Toyota RAV4,Green
53,127421,5,1999,True,Toyota RAV4,Grey
54,21131,33,2008,True,Toyota Corolla,Blue
55,19929,8,2021,True,Honda Accord,Blue
56,22673,23,2022,True,Ford Bronco,Grey
57,59578,38,2021,True,Jeep Wrangler,Black
58,69591,4,2014,True,Jeep Wrangler,Light Blue
59,65513,50,2000,True,Toyota RAV4,Light Blue
60,84251,19,2009,True,Toyota Corolla,Grey
61,21449,7,1999,True,Jeep Cherokee,Green
62,129130,14,2008,True,Dodge Challenger,Yellow
63,103762,19,2007,True,Honda Accord,Green
64,92434,44,2003,True,Honda Civic,Maroon
65,144244,42,2023,False,Dodge Challenger,Blue
66,27525,9,2024,False,Toyota Corolla,Yellow
67,141806,22,2004,True,Dodge Challenger,Grey
