order_id,car_id
1,3588
1,6372
2,9373
2,4589
2,6919
2,6446
3,6254
3,1496
3,6625
4,8762
5,8838
6,4781
6,3068
7,5537
7,9545
7,7801
7,3371
8,9058
8,9840
8,9505
9,9201
9,5310
10,1161
11,4556
11,1140
12,7839
12,9694
12,271
12,6337
13,1129
13,5018
13,444
14,5436
15,2653
16,3093
16,2694
17,4936
18,3319
19,9746
19,3750
20,2120
20,4292
20,4403
20,2212
21,2260
21,9221
21,8912
21,7576
22,5329
22,8447
22,3373
22,2878
23,6364
23,8408
23,9228
24,7439
25,3870
25,9122
25,7870
25,8810
26,8101
27,5984
27,6729
28,8658
28,9025
28,6516
28,8423
29,2989
29,4631
30,2128
30,5494
30,1090
31,2209
31,4459
31,9790
32,4756
33,549
33,6502
33,9202
34,3565
34,2677
35,6940
35,3079
36,9378
36,7108
37,9341
37,5114
38,2712
38,4882
38,496
39,113
40,1602
40,5081
40,1473
41,5442
41,7316
41,3801
41,1564
42,971
43,5140
43,5930
43,3816
44,9813
45,1380
45,6932
45,6793
45,3610
46,7953
47,7232
47,1971
47,4698
48,7511
48,5322
48,4801
49,1913
50,2347
51,438
52,9535
52,9135
52,5350
52,2040
53,7889
54,298
54,8527
54,1761
55,9621
55,1875
55,2637
55,4891
56,738
56,4162
57,6814
57,6725
58,821
59,8663
59,910
59,6445
60,8027
60,900
61,440
62,5597
62,9076
62,7460
63,6963
63,4742
64,6483
65,5458
65,2855
66,8188
66,5916
66,9321
66,8781
67,4218
67,3985
67,6519
68,9261
69,9255
69,4686
70,9917
71,9719
71,89
72,1502
72,5712
72,142
73,1807
73,8424
73,5493
74,8332
74,4315
74,6801
75,9445
75,7443
76,9450
76,8981
76,7234
77,8090
77,8893
77,1891
78,9267
78,9903
78,3363
78,4232
79,5425
79,3841
80,2104
81,1621
81,450
81,7221
81,7801
82,3568
83,8091
84,5444
84,6337
84,6792
84,5059
85,2100
86,4693
87,4291
87,4361
87,8907
87,8765
88,4535
89,7495
89,453
90,6071
91,4166
91,8574
92,1911
92,6913
93,2337
93,3638
94,6192
94,1236
94,4727
94,2898
95,7396
95,1760
95,4774
95,2551
96,8416
96,5499
96,539
96,9073
97,6952
97,6267
97,4786
97,9357
98,2813
98,1648
98,5233
99,5278
99,2053
100,1304
100,174
101,9742
101,4146
102,354
102,4570
103,4931
103,8215
103,3854
104,4819
105,4676
106,8480
107,1213
107,4383
